        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       33.00               5.016308              39632              794.221919           374.159978           420.061941     
       33.10               5.016308              39709              795.482403           405.053006           390.429397     
       33.20               5.016308              39580              821.944642           429.098561           392.846080     
       33.30               5.016308              39687              818.640862           496.859400           321.781462     
       33.40               5.016308              39728              785.299409           402.418648           382.880761     
       33.50               5.016308              39685              765.941879           457.490621           308.451258     
       33.60               5.016308              39717              798.408205           450.150902           348.257303     
       33.70               5.016308              39800              787.236531           470.435408           316.801123     
       33.80               5.016308              39878              741.516883           399.139227           342.377656     
       33.90               5.016308              39876              718.868524           340.580176           378.288348     
       34.00               5.016308              39793              874.741050           420.689518           454.051532     
       34.10               5.016308              39919              662.112729           325.427759           336.684970     
       34.20               5.016308              40037              843.653521           388.356902           455.296619     
       34.30               5.016308              40054              922.756024           426.007909           496.748116     
       34.40               5.016308              40015              859.479562           431.426120           428.053441     
       34.50               5.016308              39949              782.867520           449.957855           332.909665     
       34.60               5.016308              39818              778.210917           440.497753           337.713163     
       34.70               5.016308              39828              658.774167           412.876282           245.897885     
       34.80               5.016308              39763              735.672305           425.918200           309.754105     
       34.90               5.016308              39747              742.532757           387.162930           355.369828     
       35.00               5.016308              39759              779.883611           427.169987           352.713624     
       35.10               5.016308              39798              784.043390           419.897598           364.145791     
       35.20               5.016308              39866              640.973530           377.490853           263.482676     
       35.30               5.016308              39875              670.769664           440.496941           230.272723     
       35.40               5.016308              39692              703.036456           438.363444           264.673012     
       35.50               5.016308              39627              616.774606           365.231856           251.542750     
       35.60               5.016308              39481              529.997466           270.144689           259.852777     
       35.70               5.016308              39577              557.635674           273.262556           284.373118     
       35.80               5.016308              39582              716.719972           314.192619           402.527353     
       35.90               5.016308              39611              616.473410           338.643530           277.829880     
       36.00               5.016308              39522              584.452825           332.180201           252.272623     
       36.10               5.016308              39298              666.685158           351.714620           314.970538     
       36.20               5.016308              39169              715.658204           401.674992           313.983212     
       36.30               5.016308              39265              699.974935           426.244305           273.730630     
       36.40               5.016308              39293              729.856265           458.513502           271.342763     
       36.50               5.016308              39256              664.317497           368.198187           296.119310     
       36.60               5.016308              39273              608.715280           333.736026           274.979254     
       36.70               5.016308              39285              580.338354           271.633526           308.704828     
       36.80               5.016308              39351              667.532454           353.988445           313.544009     
       36.90               5.016308              39503              706.277159           321.367104           384.910056     
       37.00               5.016308              39557              687.626127           326.285136           361.340991     
