        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       32.70               5.016308              25786             1252.239515          1207.803340           44.436175      
       32.80               5.016308              25896             1349.224197          1322.098843           27.125355      
       32.90               5.016308              25741             1359.660600          1312.031942           47.628658      
       33.00               5.016308              25496             1261.073810          1188.272167           72.801643      
       33.10               5.016308              25393             1089.296002          1062.813239           26.482763      
       33.20               5.016308              25162             1108.896179          1102.056605            6.839574      
       33.30               5.016308              25295             1176.444835          1140.310917           36.133918      
       33.40               5.016308              25205             1174.482643          1104.528800           69.953843      
       33.50               5.016308              25110             1170.819421          1073.936767           96.882653      
       33.60               5.016308              25089             1137.014712          1047.583014           89.431698      
       33.70               5.016308              25240             1160.174040          1090.774771           69.399269      
       33.80               5.016308              25456             1174.751777          1094.533702           80.218074      
       33.90               5.016308              24999             1069.155555           999.166359           69.989195      
       34.00               5.016308              24905             1098.511568          1011.114056           87.397513      
       34.10               5.016308              24825             1088.543188          1017.921457           70.621732      
       34.20               5.016308              24965             1240.973216          1181.743774           59.229442      
       34.30               5.016308              25051             1422.041629          1334.718122           87.323508      
       34.40               5.016308              24926             1401.256394          1292.058453           109.197942     
       34.50               5.016308              25050             1269.325319          1180.125140           89.200178      
       34.60               5.016308              25140             1137.298674          1062.233904           75.064770      
       34.70               5.016308              25126             1159.715992          1071.686111           88.029882      
       34.80               5.016308              25260             1230.504258          1146.856646           83.647612      
       34.90               5.016308              24732             1370.856989          1278.207527           92.649462      
       35.00               5.016308              24504             1421.644097          1357.767351           63.876745      
       35.10               5.016308              24567             1338.190330          1278.564598           59.625731      
       35.20               5.016308              24110             1190.389560          1147.909441           42.480120      
       35.30               5.016308              23637             1223.464476          1129.157697           94.306779      
       35.40               5.016308              23878             1162.632171          1126.888752           35.743419      
       35.50               5.016308              23975             1025.593382           990.920434           34.672948      
       35.60               5.016308              23933             1155.667930          1102.713533           52.954397      
