        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       28.00               5.016308              30580             3321.788712           47.875135           3273.913577     
       28.10               5.016308              30875             3102.350957           28.431742           3073.919214     
       28.20               5.016308              30982             3029.597364           74.612718           2954.984646     
       28.30               5.016308              30980             3141.372001           82.876522           3058.495479     
       28.40               5.016308              31027             3036.976593           82.567934           2954.408659     
       28.50               5.016308              31191             3089.570196           79.362148           3010.208048     
       28.60               5.016308              31036             3094.566195           72.714086           3021.852109     
       28.70               5.016308              31115             2896.148392           72.477674           2823.670718     
       28.80               5.016308              30644             2974.997238           88.101420           2886.895818     
       28.90               5.016308              30290             3070.995972           98.907785           2972.088186     
       29.00               5.016308              30330             3216.555353           58.697313           3157.858040     
       29.10               5.016308              30517             3023.168662           24.584063           2998.584599     
       29.20               5.016308              30597             3103.790880           26.083885           3077.706995     
       29.30               5.016308              30632             2930.252652           39.885856           2890.366796     
       29.40               5.016308              30475             2943.004384           128.247950          2814.756434     
       29.50               5.016308              30112             2906.190592           71.365936           2834.824657     
       29.60               5.016308              30135             3044.429427           49.566015           2994.863413     
       29.70               5.016308              30029             3142.354306           41.820683           3100.533624     
       29.80               5.016308              30153             3225.480085           66.872081           3158.608004     
       29.90               5.016308              30167             3062.282038            4.159400           3058.122638     
       30.00               5.016308              30443             3095.249013           17.579169           3077.669845     
       30.10               5.016308              30187             3236.764508           -1.770837           3238.535344     
       30.20               5.016308              30293             3214.600556           12.413700           3202.186856     
       30.30               5.016308              30519             3070.170460           24.997151           3045.173310     
       30.40               5.016308              30327             3135.614706           28.468814           3107.145892     
       30.50               5.016308              30347             3155.785967           70.037593           3085.748373     
       30.60               5.016308              30072             2967.434896           15.099083           2952.335814     
       30.70               5.016308              29899             3038.969935           28.174843           3010.795092     
       30.80               5.016308              30085             2996.122540           52.184675           2943.937865     
       30.90               5.016308              30269             3016.204302           57.672274           2958.532028     
       31.00               5.016308              30242             2941.854747           36.682704           2905.172043     
       31.10               5.016308              30414             2935.153252           35.168433           2899.984819     
       31.20               5.016308              30235             3115.047244           81.588506           3033.458738     
       31.30               5.016308              30605             3010.997420           67.251253           2943.746167     
       31.40               5.016308              30698             2796.423634           68.892751           2727.530883     
       31.50               5.016308              31158             2696.507913           42.298930           2654.208983     
       31.60               5.016308              30972             2782.449513           96.621263           2685.828251     
       31.70               5.016308              30919             2628.759164           48.200403           2580.558760     
       31.80               5.016308              30493             3056.159214           79.133453           2977.025761     
       31.90               5.016308              30941             2884.813365           79.418176           2805.395189     
       32.00               5.016308              30609             2920.223371           90.657860           2829.565511     
       32.10               5.016308              30421             2965.970134           95.274246           2870.695889     
       32.20               5.016308              30302             3257.422999           111.605908          3145.817091     
       32.30               5.016308              30412             3202.393449           111.378661          3091.014788     
       32.40               5.016308              30163             3412.244434           111.097184          3301.147250     
       32.50               5.016308              29706             3386.577356           116.744781          3269.832575     
       32.60               5.016308              29597             3427.038875           99.601385           3327.437490     
       32.70               5.016308              29637             3810.495134           97.195080           3713.300054     
       32.80               5.016308              29668             4061.081178           84.951674           3976.129505     
       32.90               5.016308              29773             3763.574976           69.931091           3693.643886     
       33.00               5.016308              29521             3738.098538           90.107566           3647.990972     
       33.10               5.016308              29668             3599.857583           98.020848           3501.836736     
       33.20               5.016308              29811             3319.083753           118.442106          3200.641647     
       33.30               5.016308              29765             3339.541037           100.619774          3238.921263     
       33.40               5.016308              29685             3630.301147           68.404968           3561.896179     
       33.50               5.016308              29677             3751.415314           56.848379           3694.566935     
       33.60               5.016308              29962             3590.093517           89.035242           3501.058275     
       33.70               5.016308              30082             3533.769926           87.642059           3446.127867     
       33.80               5.016308              30368             3723.979111           90.688409           3633.290701     
       33.90               5.016308              30839             3251.579788           78.507087           3173.072701     
       34.00               5.016308              30627             3050.636400           62.317057           2988.319343     
       34.10               5.016308              30334             3079.420933           76.464616           3002.956317     
       34.20               5.016308              30249             3170.311822           80.397582           3089.914240     
       34.30               5.016308              29489             2871.942757           79.903981           2792.038776     
       34.40               5.016308              29458             2982.026859           75.769054           2906.257805     
       34.50               5.016308              28835             3388.535330           79.054507           3309.480823     
       34.60               5.016308              28820             4118.587190           91.615195           4026.971995     
       34.70               5.016308              28769             3804.634568           104.805507          3699.829062     
       34.80               5.016308              28853             3918.147133           121.828979          3796.318154     
       34.90               5.016308              28991             3642.053401           103.186686          3538.866715     
       35.00               5.016308              29133             3906.573040           60.704992           3845.868048     
       35.10               5.016308              29260             3754.687554           76.252810           3678.434745     
       35.20               5.016308              29539             3582.356511           94.982346           3487.374165     
       35.30               5.016308              29417             3492.769114           98.071419           3394.697695     
       35.40               5.016308              29618             3259.495736           79.561512           3179.934223     
       35.50               5.016308              29876             2835.988813           46.372646           2789.616167     
       35.60               5.016308              29868             2630.281258           46.168274           2584.112985     
       35.70               5.016308              29697             3077.976630           77.295105           3000.681525     
       35.80               5.016308              29624             2664.811154           70.770712           2594.040441     
       35.90               5.016308              29464             2741.167988           82.004928           2659.163060     
       36.00               5.016308              29042             2870.514473           91.941853           2778.572620     
       36.10               5.016308              28999             3153.107124           76.568691           3076.538433     
       36.20               5.016308              29048             2995.943537           85.616834           2910.326703     
       36.30               5.016308              28700             2895.888002           116.797622          2779.090380     
       36.40               5.016308              28706             2942.120806           96.578102           2845.542704     
       36.50               5.016308              28750             2850.616225           111.604452          2739.011773     
       36.60               5.016308              28699             3134.647800           128.615824          3006.031976     
       36.70               5.016308              28815             3046.150081           122.762280          2923.387801     
       36.80               5.016308              28939             3029.221361           115.153697          2914.067664     
       36.90               5.016308              29233             2967.850746           105.459306          2862.391440     
       37.00               5.016308              28847             3090.752384           117.840940          2972.911445     
       37.10               5.016308              28839             3031.466213           115.018842          2916.447371     
       37.20               5.016308              29426             3045.846733           119.155217          2926.691516     
       37.30               5.016308              29449             3001.606837           108.263888          2893.342949     
       37.40               5.016308              29944             2817.820157           53.960385           2763.859773     
       37.50               5.016308              29638             2808.089593           75.483017           2732.606575     
       37.60               5.016308              29654             2876.759532           48.418179           2828.341353     
       37.70               5.016308              29697             2754.760985           73.188677           2681.572309     
