    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     7.900         44043.931       921498.654      -10620.190      -10620.190      931907.292      916082.782      17229.667      70836849.637    -359386.577     -359386.577     71004199.137    70561137.810       1065.0          33807     
     8.000         43902.944       899349.684      -11027.537      -11027.537      903369.058      890331.834      17352.872      70817078.579     11197.571       11197.571      70912914.769    70876194.245       1084.2          33944     
     8.100         43784.819       910258.765      -8392.333       -8392.333       905340.905      899407.502      17345.251      71082446.760    -169760.540     -169760.540     70579926.533    70661426.107       1111.2          34043     
     8.200         43839.436       878721.752      10649.001       10649.001       889116.660      894568.207      17338.900      71173335.641    -300986.954     -300986.954     70952995.600    70762178.667       1075.2          33984     
     8.300         44083.306       955297.476      13817.898       13817.898       954786.670      968859.971      17050.575      70791272.499     353367.018      353367.018     69893976.874    70695991.704       1097.7          33657     
     8.400         44135.382       951164.392       7641.599        7641.599       926008.183      946227.887      17006.119      70972028.646    -381574.988     -381574.988     70668502.855    70438690.762       1087.6          33593     
     8.500         44097.278       894661.975      -19708.178      -19708.178      887956.610      871601.115      17055.655      70740640.915    -313187.420     -313187.420     70138537.011    70126401.543       1105.6          33678     
     8.600         44008.367       910054.662      -8482.056       -8482.056       884702.780      888896.665      17130.595      70258575.794    -615691.801     -615691.801     70393483.914    69710338.053       1088.7          33731     
     8.700         44084.576       935779.470      -1147.432       -1147.432       939588.342      936536.474      17195.373      69373642.452     174144.953      174144.953     69294109.410    69508020.884       1058.3          33637     
     8.800         44054.092       919573.686      -4329.755       -4329.755       901599.532      906256.854      17183.941      69896677.382     467555.479      467555.479     69476036.701    70153912.521       1061.6          33683     
     8.900         44010.907       967136.103       1662.908        1662.908       968492.924      969477.422      17023.902      69188132.706     621728.780      621728.780     69418828.935    69925209.601       1152.9          33557     
     9.000         43615.889       927841.280      -3222.262       -3222.262       928862.973      925129.865      17079.788      68747301.975     862339.349      862339.349     68158281.967    69315131.320       1261.1          33769     
     9.100         43759.416       969744.806      -1713.482       -1713.482       985212.754      975765.298      16804.165      68077275.577     662941.372      662941.372     67333406.785    68368282.553       1279.2          33360     
     9.200         43901.674      1031856.403      -3889.890       -3889.890      1005196.561     1014636.593      16473.924      69068609.354     328259.312      328259.312     67612318.634    68668723.305       1333.3          33016     
     9.300         44189.999      1070415.164      -4991.013       -4991.013      1086938.449     1073685.793      16241.485      68528604.112     639399.223      639399.223     66947818.018    68377610.288       1327.6          32622     
     9.400         44574.856      1132598.161       5152.994        5152.994      1117948.175     1130426.162      16119.550      67431733.479     409021.391      409021.391     67034048.640    67641912.450       1246.5          32258     
     9.500         44732.356      1148282.229       193.081         193.081       1160244.163     1154456.277      15958.241      67995002.115     -77531.435      -77531.435     66450730.068    67145334.657       1260.0          32039     
     9.600         44564.695      1207381.160      -3751.809       -3751.809      1259869.728     1229873.635      15845.197      67038260.169     -5872.268       -5872.268      65689177.780    66357846.707       1317.5          31925     
     9.700         45297.575      1256034.606      -17830.052      -17830.052     1287194.590     1253784.545      15696.588      68074828.834     21141.772       21141.772      67401059.593    67759085.986       1158.6          31402     
     9.800         45649.408      1299741.854      16437.079       16437.079      1265885.032     1299250.522      15807.092      70303133.428     196692.785      196692.785     69336581.111    70016550.054       1024.5          31307     
     9.900         46675.694      1591202.664      10617.153       10617.153      1597593.584     1605015.277      15287.598      72004652.564     -32531.955      -32531.955     70979963.137    71459775.895       896.0           30335     
     10.000        46579.163      1463449.887      -7677.683       -7677.683      1474872.137     1461483.329      15384.130      72835539.902     873978.697      873978.697     71884511.644    73234004.469       926.4           30618     
     10.100        46643.941      1352088.082      -15906.174      -15906.174     1325614.428     1322945.081      15622.919      72637422.051     672281.203      672281.203     72708510.890    73345247.674       809.2           30788     
     10.200        46529.627      1291602.574      -7933.351       -7933.351      1302208.084     1288971.978      15678.806      72740060.649     967976.598      967976.598     72797147.306    73736580.576       854.3           30986     
     10.300        46441.986      1249561.780       8731.045        8731.045      1229299.110     1248161.490      15809.632      74141266.439    1133542.805     1133542.805     73332183.245    74870267.647       823.8           31217     
     10.400        46358.155      1186632.038      -1157.823       -1157.823      1189560.284     1186938.339      15875.680      74915420.935     844872.954      844872.954     74732396.037    75668781.440       803.6           31439     
     10.500        46223.519      1173305.947      -5946.345       -5946.345      1172464.666     1166938.962      15968.402      76310593.079     728219.738      728219.738     75879283.141    76823157.848       821.6           31647     
     10.600        46378.478      1139194.420       -881.003        -881.003      1144837.753     1141135.084      16130.982      76810154.165     870449.277      870449.277     76976188.434    77763620.576       738.2           31831     
