    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     8.300         83211.859       436365.412      -5764.326       -5764.326       442110.096      433473.428      42460.003     287669516.544    -3100126.634    -3100126.634   283491538.610   282480400.943       1197.8          87124     
     8.400         83123.485       433510.321       -57.340         -57.340        414431.626      423913.633      42553.427     287151243.489    -1479880.444    -1479880.444   283862395.141   284026938.871       1205.6          87251     
     8.500         83093.186       407284.090       4960.824        4960.824       404346.644      410776.191      42608.977     285117066.993    -1198399.373    -1198399.373   283109700.224   282914984.236       1201.1          87388     
     8.600         82898.762       386312.776       8393.520        8393.520       390093.512      396596.664      42763.000     281846685.350    -2158215.896    -2158215.896   281807192.248   279668722.903       1204.5          87565     
     8.700         82811.651       402369.843       3746.469        3746.469       404218.599      407040.690      42866.524     279374480.593    -770951.855     -770951.855    278115591.329   277974084.106       1194.4          87466     
     8.800         82653.840       422562.378       496.085         496.085        423699.320      423626.934      43063.472     272805781.099     282385.623      282385.623    269852085.503   271611318.924       1200.0          87401     
     8.900         82849.525       428449.543       4428.839        4428.839       434275.772      435791.497      42845.062     271551348.527     56856.724       56856.724     269589937.580   270627499.777       1200.0          87092     
     9.000         82918.962       435137.834      -6699.699       -6699.699       444349.752      433044.094      42691.038     273266729.964     883983.533      883983.533    271729177.753   273381937.392       1227.0          86953     
     9.100         83195.447       434166.643       3498.520        3498.520       463781.527      452472.605      42412.028     274798853.903    -762601.586     -762601.586    275814381.040   274544015.885       1231.5          86598     
     9.200         83482.032       474526.582       3222.442        3222.442       464571.652      472771.559      42223.918     277521987.781    -583908.659     -583908.659    277233264.391   276793717.427       1209.0          86336     
     9.300         83548.944       508309.014      -13291.800      -13291.800      510439.084      496082.249      42028.232     279541989.029    -300614.980     -300614.980    277218207.507   278079483.288       1237.1          86001     
     9.400         83856.991       551929.566      -4857.904       -4857.904       549313.341      545763.550      41720.185     280334011.704    -617198.678     -617198.678    279080235.052   279089924.700       1224.7          85487     
     9.500         84432.686       570314.265       2417.601        2417.601       562156.276      568652.872      41354.063     288746544.727    -331933.648     -331933.648    286278476.994   287180577.212       1167.4          85094     
     9.600         84327.899       556214.185      -4445.253       -4445.253       554299.080      550811.379      41393.200     291285182.685    -1442790.997    -1442790.997   289123674.788   288761637.739       1196.6          85355     
     9.700         84324.112       550068.151       -771.311        -771.311       555391.762      551958.645      41398.250     291859904.352    -626440.732     -626440.732    291970846.374   291288934.631       1209.0          85433     
     9.800         84305.174       522836.190       7289.354        7289.354       531992.323      534703.611      41595.199     292633753.031    -654377.873     -654377.873    292687402.175   292006199.730       1161.8          85627     
