      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      5.40          5.016308         30309             5               11             199             156           6.542790        2.428460       59.602131        0.000000        6.542790        2.428460           34      
      5.40          5.016308         30309             5               12             119              86           8.363692        2.223260       59.054345        0.000000        8.363692        2.223260           18      
      5.40          5.016308         30309             5               3              120              78           5.476670        0.541156       35.179670        0.000000        5.476670        0.541156           13      
      5.40          5.016308         30309             5               7               79              63           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           14      
      5.50          5.016308         30311             5               5              7466            9647         86.092865        3.929283       600.272972      408.122763      26.931529        7.965950          619      
      5.50          5.016308         30311             5               11             211             153          13.996388        1.962032       98.084770        0.000000       13.996388        1.962032           39      
      5.50          5.016308         30311             5               7              155             130           9.554726        1.184719       64.539486        0.000000        9.554726        1.184719           24      
      5.50          5.016308         30311             5               1              125              88           5.675582        1.510319       38.447679        0.000000        5.675582        1.510319           20      
      5.50          5.016308         30311             5               12             105              91           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           16      
      5.60          5.016308         30272             4               4              8401           10389         99.310455        5.621668       63.599852       398.031888      41.170660        9.892706          738      
      5.60          5.016308         30272             4               3              490             358          16.340988        3.930858       115.114550       0.000000       16.340988        3.930858           74      
      5.60          5.016308         30272             4               5              305             262          15.713295        5.492180       115.323077       0.000000       15.713295        5.492180           50      
      5.60          5.016308         30272             4               1              133             106           5.790034        1.390150       44.409775        0.000000        5.790034        1.390150           23      
      5.60          5.016308         30272             4               2              100              86           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           17      
      5.70          5.016308         30189             5               5              8873           10963         92.572486       12.236103       741.178223      439.672320      36.761524       20.814159          746      
      5.70          5.016308         30189             5               7              448             499          10.949253        3.009477       98.300506        0.000000       10.949253        3.009477           24      
      5.70          5.016308         30189             5               1              206             205           1.734615        0.675683       11.469925        0.000000        1.734615        0.675683           45      
      5.70          5.016308         30189             5               10             210             174          13.832362        2.955291       98.357988        0.000000       13.832362        2.955291           37      
      5.70          5.016308         30189             5               6              156              88           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           17      
      5.80          5.016308         30024             4               4              8061           10222         89.418334        9.337929       661.628543      379.409812      36.263756       18.173157          682      
      5.80          5.016308         30024             4               10             257             182          15.181289        5.104220       132.511993       0.000000       15.181289        5.104220           43      
      5.80          5.016308         30024             4               2              230             173          14.451843        5.182266       113.412545       0.000000       14.451843        5.182266           37      
