        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       29.60               5.016308              42359             1397.917840           25.307761           1372.610078     
       29.70               5.016308              42346             1384.604112           73.729679           1310.874433     
       29.80               5.016308              42432             1383.026042           52.633156           1330.392886     
       29.90               5.016308              42133             1398.316229           15.241271           1383.074959     
       30.00               5.016308              41996             1410.365587            2.497981           1407.867606     
       30.10               5.016308              41913             1405.243370           -6.769458           1412.012829     
       30.20               5.016308              41831             1528.399221            6.752443           1521.646777     
       30.30               5.016308              41670             1552.548935           15.446312           1537.102623     
       30.40               5.016308              41615             1494.387902            0.534641           1493.853262     
       30.50               5.016308              41621             1580.721690           33.747518           1546.974172     
       30.60               5.016308              41544             1591.361420           25.380646           1565.980774     
       30.70               5.016308              41565             1567.271282           26.218312           1541.052970     
       30.80               5.016308              41662             1529.954281           -9.083578           1539.037859     
       30.90               5.016308              41680             1514.012554           -1.555647           1515.568200     
       31.00               5.016308              41852             1548.878090            6.172049           1542.706041     
       31.10               5.016308              41886             1570.458172           25.274433           1545.183739     
       31.20               5.016308              42012             1582.990165           10.809600           1572.180565     
       31.30               5.016308              41991             1580.198962           30.846549           1549.352413     
       31.40               5.016308              41890             1625.387755           20.307309           1605.080446     
       31.50               5.016308              41922             1628.615624            2.268865           1626.346759     
       31.60               5.016308              42026             1546.265940           -6.754572           1553.020512     
       31.70               5.016308              42040             1529.641035           -15.124127          1544.765162     
       31.80               5.016308              42167             1499.616045           20.133942           1479.482104     
       31.90               5.016308              42173             1475.508691           20.347924           1455.160767     
       32.00               5.016308              42075             1490.004966           34.346295           1455.658671     
       32.10               5.016308              42082             1430.055847           70.133186           1359.922661     
       32.20               5.016308              42035             1377.611714           19.146768           1358.464946     
       32.30               5.016308              41912             1377.545251           -14.266733          1391.811983     
       32.40               5.016308              41920             1438.758006           -17.734245          1456.492251     
       32.50               5.016308              41981             1479.437204           -17.751581          1497.188785     
       32.60               5.016308              41991             1487.107790           -2.405401           1489.513191     
       32.70               5.016308              41913             1462.000877           -19.985872          1481.986749     
       32.80               5.016308              41702             1448.344911           -11.616095          1459.961006     
       32.90               5.016308              41744             1489.512706           -25.920609          1515.433315     
       33.00               5.016308              41628             1448.264297           -49.563002          1497.827298     
       33.10               5.016308              41643             1507.988820           -6.479474           1514.468295     
       33.20               5.016308              41730             1537.559041            6.630051           1530.928990     
       33.30               5.016308              41658             1456.316500           -22.550361          1478.866860     
       33.40               5.016308              41603             1484.668507           -22.048268          1506.716775     
       33.50               5.016308              41564             1501.485338           -33.998275          1535.483613     
       33.60               5.016308              41651             1402.302439           -46.687372          1448.989810     
       33.70               5.016308              41748             1391.105702           -45.988505          1437.094207     
       33.80               5.016308              41840             1423.752417           -63.396863          1487.149280     
       33.90               5.016308              41874             1433.727235           -24.610232          1458.337467     
       34.00               5.016308              41928             1465.947635           -3.449508           1469.397143     
       34.10               5.016308              41862             1451.652615            7.504644           1444.147971     
       34.20               5.016308              41969             1359.220784           -46.135317          1405.356102     
       34.30               5.016308              41935             1342.710808           -32.943404          1375.654213     
       34.40               5.016308              41824             1413.615722           -10.414257          1424.029979     
       34.50               5.016308              41790             1378.369610           -4.362834           1382.732444     
       34.60               5.016308              41735             1420.896764           21.912533           1398.984230     
       34.70               5.016308              41539             1417.999704           -22.488563          1440.488267     
       34.80               5.016308              41512             1462.988818            6.242555           1456.746264     
       34.90               5.016308              41679             1532.995963           20.100189           1512.895774     
       35.00               5.016308              41677             1604.398028           36.267973           1568.130055     
       35.10               5.016308              41765             1541.713743           37.223800           1504.489943     
       35.20               5.016308              41808             1500.416875           40.092993           1460.323882     
       35.30               5.016308              41805             1495.459425           28.256260           1467.203165     
       35.40               5.016308              42013             1418.259962           12.560377           1405.699585     
       35.50               5.016308              42075             1441.962808            5.261336           1436.701473     
       35.60               5.016308              41999             1465.940468           -7.679955           1473.620423     
