      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
     16.20          5.016308         42596           17998            7546            547             2335            4283            1495            4667           13171            559              0               0               0       
     16.30          5.016308         42646           18082            7730            556             2388            4226            1494            4530           13044            551              0               0               0       
     16.40          5.016308         42516           17829            7303            542             2440            4300            1494            4731           13397            565              0               0               0       
     16.50          5.016308         42499           17995            7722            555             2473            4377            1517            4532           12901            529              0               0               0       
     16.60          5.016308         42410           18062            7918            561             2452            4388            1504            4486           12694            536              0               0               0       
     16.70          5.016308         42319           17863            7341            545             2407            4343            1479            4730           13316            577              0               0               0       
     16.80          5.016308         42142           17894            7222            542             2538            4704            1531            4568           13074            528              0               0               0       
     16.90          5.016308         42036           17645            6504            520             2520            4672            1500            4835           13824            581              0               0               0       
     17.00          5.016308         41900           17613            6445            517             2518            4702            1502            4869           13853            582              0               0               0       
     17.10          5.016308         41892           17665            6561            520             2534            4705            1507            4801           13734            574              0               0               0       
     17.20          5.016308         41949           17865            7097            536             2522            4649            1495            4613           13254            570              0               0               0       
     17.30          5.016308         42115           17523            6498            515             2464            4428            1469            5013           14074            617              0               0               0       
     17.40          5.016308         42023           17348            6120            501             2575            4506            1499            5077           14374            601              0               0               0       
     17.50          5.016308         42060           17563            6319            509             2603            4441            1498            4834           14240            594              0               0               0       
     17.60          5.016308         42289           17871            7060            532             2561            4357            1499            4568           13583            570              0               0               0       
     17.70          5.016308         42206           17736            6587            519             2558            4397            1495            4706           14016            587              0               0               0       
     17.80          5.016308         42159           17385            6286            505             2515            4456            1508            5100           14258            588              0               0               0       
     17.90          5.016308         42146           17796            6731            523             2596            4607            1524            4608           13662            554              0               0               0       
     18.00          5.016308         41985           17453            6215            504             2505            4491            1475            5042           14294            622              0               0               0       
     18.10          5.016308         42004           17877            6957            529             2588            4556            1504            4535           13487            568              0               0               0       
     18.20          5.016308         42087           17672            6384            512             2544            4471            1491            4784           14145            598              0               0               0       
     18.30          5.016308         42085           17613            6428            513             2535            4530            1507            4852           14042            581              0               0               0       
     18.40          5.016308         42085           17443            6310            508             2447            4399            1475            5110           14291            618              0               0               0       
     18.50          5.016308         42214           17349            6272            506             2420            4317            1471            5231           14411            624              0               0               0       
     18.60          5.016308         42249           17931            7277            539             2546            4536            1520            4523           13187            542              0               0               0       
