      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
     10.00          5.016308         39607             1               1              8579            8368         94.448630        5.563630       658.125655      503.087890      22.027978       13.839620          598      
     10.10          5.016308         39568             1               1              8626            8446         94.455931        6.496691       657.542337      496.972746      22.365868       13.892066          602      
     10.20          5.016308         39603             2               2              8542            8307         94.121873        6.213387       647.799778      502.702236      21.779972       13.656610          591      
     10.30          5.016308         39525             1               1              8144            7946         93.922169        5.626999       640.207570      510.987712      20.406916       12.842228          568      
     10.40          5.016308         39494             4               4              8600            8415         95.600277        6.654338       668.225361      496.092541      23.061731       13.910768          624      
     10.40          5.016308         39494             4               2               77              71           8.899064        1.869007       68.007042        0.000000        8.899064        1.869007           21      
     10.40          5.016308         39494             4               6               60              51           8.063252        2.104044       62.202964        0.000000        8.063252        2.104044           18      
     10.50          5.016308         39561             2               2              8158            8255         94.027686        6.245304       653.490029      504.802251      20.894693       13.560288          583      
     10.60          5.016308         39529             2               2              8507            8503         97.586899        9.688556       727.213614      505.184355      24.201863       17.006735          675      
     10.70          5.016308         39529             1               1              8656            8713         99.386831       11.312001       793.244994      504.889138      26.546393       19.409713          696      
     10.80          5.016308         39584             2               2              8207            7854         94.501240        6.445852       663.144149      507.422004      20.401686       13.818593          582      
     10.90          5.016308         39594             3               3              8240            7747         95.717227        7.698051       666.197248      502.393619      21.435890       15.043978          593      
     11.00          5.016308         39732             2               2              8347            7914         95.580703        6.402203       669.105239      504.406453      21.525814       13.735907          603      
     11.00          5.016308         39732             2               1               60              47           5.523811        2.036812       45.983215        0.000000        5.523811        2.036812           15      
     11.10          5.016308         39787             3               3              8464            7800         95.976751        7.150754       679.148195      505.757551      21.689134       14.096002          617      
     11.10          5.016308         39787             3               6               57              44          69.392398       40.720174       539.634261       0.000000       69.392398       40.720174           13      
     11.20          5.016308         39814             1               1              8161            7756         93.555556        7.549151       236.500099      517.018571      18.927899       14.733068          590      
     11.30          5.016308         39833             2               2              8028            7975         95.344751        7.011613       685.199100      515.277395      20.859223       13.904334          593      
     11.40          5.016308         39906             3               3              8681            8532         97.248350        7.438593       699.619031      504.927268      24.070684       14.457846          656      
     11.40          5.016308         39906             3               2               50              69          70.314974       41.107957       552.972624       0.000000       70.314974       41.107957           15      
     11.40          5.016308         39906             3               6               61              41           6.709860        0.908353       43.888252        0.000000        6.709860        0.908353           14      
     11.50          5.016308         39709             2               2              8110            7984         94.726864        6.832685       651.269026      509.584739      20.278409       14.857117          574      
     11.60          5.016308         39703             3               3              8877            8964         96.203167        7.479640       693.644396      508.148667      23.605852       15.895630          669      
     11.60          5.016308         39703             3               4              124             114          12.501985        2.442497       84.775453        0.000000       12.501985        2.442497           32      
     11.60          5.016308         39703             3               1               94              77          11.583676        2.618050       87.937085        0.000000       11.583676        2.618050           27      
     11.70          5.016308         39722             1               1              8851            8683         95.547373        7.231212       655.710271      522.015443      22.877052       15.912085          655      
     11.70          5.016308         39722             1               3               82              83           9.432971        1.211547       61.388152        0.000000        9.432971        1.211547           21      
     11.70          5.016308         39722             1               4               65              62           8.785002        2.874686       64.853975        0.000000        8.785002        2.874686           20      
     11.80          5.016308         39623             2               2              8259            7950         102.640594      10.328563       247.363252      523.049492      28.619247       18.333739          590      
     11.90          5.016308         39606             5               5              9379            8730         95.584303        8.677975       665.753495      508.393594      24.014354       16.860213          665      
     11.90          5.016308         39606             5               4              122             123           8.781057        2.376568       64.114418        0.000000        8.781057        2.376568           33      
     11.90          5.016308         39606             5               8               98             115          13.206270        6.043394       119.311648       0.000000       13.206270        6.043394           31      
     11.90          5.016308         39606             5               6               76              58           8.073623        1.226291       60.046067        0.000000        8.073623        1.226291           19      
     12.00          5.016308         39548             2               2              8408            8111         94.485016        7.780310       657.816949      524.358150      20.909651       15.920955          594      
     12.00          5.016308         39548             2               3               75              67           6.895457        1.256148       45.208391        0.000000        6.895457        1.256148           18      
     12.10          5.016308         39492             2               2              8879            8430         96.397747        9.337693       694.730003      508.306756      24.082987       16.904150          638      
     12.10          5.016308         39492             2               4               60              50           7.106193        3.177961       54.483696        0.000000        7.106193        3.177961           15      
     12.20          5.016308         39425             2               2              8559            8178         94.467702        7.749778       661.984897      515.174271      21.468449       15.838551          605      
     12.30          5.016308         39514             2               2              8451            8146         94.601113        7.848782       652.929037      525.579875      21.267771       16.175529          599      
     12.40          5.016308         39597             2               2              8763            8426         95.645842        7.405029       680.866067      505.251530      22.590500       15.294946          670      
     12.40          5.016308         39597             2               1               66              65           8.017754        3.034241       66.442703        0.000000        8.017754        3.034241           16      
     12.40          5.016308         39597             2               3               49              58          72.616034       41.982060       585.562103       0.000000       72.616034       41.982060           14      
     12.50          5.016308         39584             3               3              8713            8419         96.383645        8.426052       657.550291      523.790524      23.100429       17.006869          639      
     12.50          5.016308         39584             3               2               70              72           9.864098        0.598609       62.939174        0.000000        9.864098        0.598609           24      
     12.60          5.016308         39703             2               2              8474            8142         95.595056        8.445877       665.679485      516.373066      21.809408       16.730971          608      
     12.70          5.016308         39761             3               3              8852            8696         98.884274        9.432927       704.857721      513.979902      25.624590       17.287186          694      
     12.80          5.016308         39830             2               2              8226            7837         96.365441        8.922741       670.046073      519.598293      21.508530       16.940661          609      
     12.90          5.016308         39954             1               1              8014            7684         94.933779        8.603415       655.378187      518.172911      19.841829       16.286025          568      
     13.00          5.016308         39872             2               2              8716            8287         94.786290        8.095266       656.848809      507.936357      21.505061       16.121445          601      
     13.10          5.016308         39872             1               1              8920            8276         95.955745        8.789608       682.932344      505.236545      22.900354       16.476672          625      
     13.20          5.016308         39875             2               2              9112            8169         94.785119        8.350107       655.186958      496.544778      22.262559       16.001859          604      
     13.30          5.016308         39933             5               5              9219            8730         95.665006        8.613090       665.376084      496.372644      23.643403       15.878423          665      
     13.30          5.016308         39933             5               4               54              49           6.800146        0.567005       43.816948        0.000000        6.800146        0.567005           17      
     13.40          5.016308         39800             1               1              9257            8444         98.293998       12.004578       715.011615      509.970103      25.787572       20.064350          650      
     13.50          5.016308         39749             4               4              9546            8503         98.423179       10.637490       757.882983      514.957520      26.627051       19.021923          666      
     13.60          5.016308         39771             3               3              9224            8335         94.579045        8.708777       656.670707      524.628518      22.059976       17.376882          615      
     13.60          5.016308         39771             3               5               76              80           9.495114        2.439334       78.001429        0.000000        9.495114        2.439334           26      
     13.60          5.016308         39771             3               4               62              68           8.628283        4.373683       85.902241        0.000000        8.628283        4.373683           20      
     13.60          5.016308         39771             3               2               61              62           9.629000        2.554983       72.329091        0.000000        9.629000        2.554983           23      
     13.70          5.016308         39660             1               1              8402            7735         93.186090        8.430881       643.968970      523.068616      19.378209       16.883869          551      
     13.80          5.016308         39660             1               1              9392            8451         95.204396        9.404159       694.250248      518.892290      23.350559       18.618753          627      
     13.80          5.016308         39660             1               3               57              55           9.429621        0.827825       61.656539        0.000000        9.429621        0.827825           21      
